Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
4393,2745660,The Queen Anne,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014110023,1014110023,1043174,155 East 76th Street,Not Available,10021,151,EAST 76 STREET,Manhattan,182015,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,182015,Parking,7800,Not Available,Not Available,1958,1,100,Whole Building,Whole Building,79,66.1,70.1,5.4,0.5,112.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8573599.9,94070.6,3465715.2,983041.3,777,455.4,321.6,182015,9835.4,54.04,109.2,04/28/2017 06:56:15 PM,No,In Compliance,40.772846,-73.95991,8,4,128,Upper East Side-Carnegie Hill
4394,2806508,Lenox Manor Owners Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014110040,1014110040,1043178,176 E 77th Street,Not Available,10075,1334,3 AVENUE,Manhattan,215106,Multifamily Housing,"Financial Office, Medical Office, Multifamily Housing, Parking, Retail Store",Multifamily Housing,168671,Parking,26963,Financial Office,4250,1957,1,100,Whole Building,Whole Building,Not Available,67.2,70.8,6.8,0.5,123,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7621230.1,84121.6,4297438.3,1211349.1,803.6,404.8,398.8,177311,Not Available,Not Available,121.2,05/01/2017 22:09:31,No,In Compliance,40.77253,-73.958585,8,4,128,Upper East Side-Carnegie Hill
4395,5767656,150 E. 77 Street Corp,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014110053,1-01411-0053,1043180,150 E. 77th St.,Not Available,10075,1091,LEXINGTON AVENUE,Manhattan,199358,Multifamily Housing,Multifamily Housing,Multifamily Housing,202255,Not Available,Not Available,Not Available,Not Available,1959,1,100,Whole Building,Whole Building,80,68.1,71.7,5.8,0.5,116.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9646302.9,104788.9,4124014,1179606.9,895.1,512.4,382.7,202255,6776.6,33.51,114.1,05/01/2017 16:04:27,Yes,In Compliance,40.773412,-73.960011,8,4,128,Upper East Side-Carnegie Hill
4396,2790741,145 East 76th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014117501,1-01411-7501,1043173,145 East 76th Street,Not Available,10021,145,EAST 76 STREET,Manhattan,76130,Multifamily Housing,Multifamily Housing,Multifamily Housing,65953,Not Available,Not Available,Not Available,Not Available,1999,1,100,Whole Building,Whole Building,28,76.1,78.8,11.8,0.4,167.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2287368.4,25322,2733198.1,781175.3,375.1,121.5,253.6,65953,3539.8,53.67,166.5,04/21/2017 04:16:54 PM,No,In Compliance,40.772899,-73.960033,8,4,128,Upper East Side-Carnegie Hill
4397,4038889,Orsid - 170 East 77th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014117502,1-01411-7502,1043179,170 East 77th Street,Not Available,10075,170,EAST 77 STREET,Manhattan,95463,Multifamily Housing,Multifamily Housing,Multifamily Housing,99200,Not Available,Not Available,Not Available,Not Available,1942,1,100,Whole Building,Not Available,2,99.5,104.3,12.4,0.6,198,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5595621.3,61430.3,4276315.7,1230921.5,694.1,297.2,396.8,99200,3285.4,33.12,194.6,05/01/2017 14:58:14,No,In Compliance,40.773261,-73.958975,8,4,128,Upper East Side-Carnegie Hill
4398,2694382,DEPM 2618 - 863 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014120001,1-01412-0001,1043184,863 Park Avenue,Not Available,10075,865,PARK AVENUE,Manhattan,55758,Multifamily Housing,"Medical Office, Multifamily Housing, Office",Multifamily Housing,47919,Office,3420,Medical Office,1611,1908,1,100,Whole Building,Whole Building,Not Available,89,96,5.2,Not Available,134.5,Not Available,0,3756784.1,Not Available,Not Available,Not Available,Not Available,Not Available,956472.6,272911.1,371.6,282.8,88.8,52950,2333.9,44.08,128.4,05/01/2017 14:58:14,Yes,In Compliance,40.774464,-73.961361,8,4,140,Upper East Side-Carnegie Hill
4399,2670781,875 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014120071,1014120071,1043221,875 Park Ave,Not Available,10075,875,PARK AVENUE,Manhattan,158445,Multifamily Housing,Multifamily Housing,Multifamily Housing,114300,Not Available,Not Available,Not Available,Not Available,1912,1,100,Whole Building,Whole Building,38,85,88.9,8.6,0.6,154.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6259863,68026,3453068.2,986038.7,652.9,332.5,320.4,114300,3337,29.2,152.4,05/01/2017 22:35:35,No,In Compliance,40.774711,-73.96118,8,4,140,Upper East Side-Carnegie Hill
4400,4037958,170 E 78th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014127501,1-01412-7501,1077853,170 East 78th Street,Not Available,10021,170,EAST 78 STREET,Manhattan,56287,Multifamily Housing,Multifamily Housing,Multifamily Housing,56287,Not Available,Not Available,Not Available,Not Available,1927,1,100,Whole Building,Whole Building,62,64.2,63.9,5.7,0,106.2,Not Available,2346275.9,Not Available,Not Available,Not Available,Not Available,168256.5,1523.6,1098146.2,321848.2,285,183.1,101.9,56287,Not Available,Not Available,106.5,04/27/2017 01:38:21 PM,Yes,In Compliance,40.773941,-73.958621,8,4,140,Upper East Side-Carnegie Hill
4401,2656229,Wallack - 188 East 78th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014127502,1-01412-7502,1082192,188 East 78th Street,Not Available,10075,188,EAST 78 STREET,Manhattan,197442,Multifamily Housing,"Financial Office, Multifamily Housing, Parking, Retail Store",Multifamily Housing,199987,Parking,21581,Financial Office,4600,2000,1,100,Whole Building,Whole Building,Not Available,74.9,76.9,13.8,0.3,179.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5647034.4,61939,9976341,2886454.2,1225.7,299.9,925.8,208514,Not Available,Not Available,178.7,05/01/2017 14:58:14,No,In Compliance,40.773785,-73.958245,8,4,140,Upper East Side-Carnegie Hill
4402,3325701,177 East 77th Street Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014127503,1-01412-7503,1043200,177 East 77th St,Not Available,10075,177,EAST 77 STREET,Manhattan,72296,Multifamily Housing,Multifamily Housing,Multifamily Housing,72438,Not Available,Not Available,Not Available,Not Available,1942,1,100,Whole Building,Whole Building,69,70.3,74.8,5.2,0.6,115.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3768128,41407.8,1323677.3,373617.1,323,200.1,122.8,72438,2673.5,36.91,112,04/14/2017 11:54:22 AM,Yes,In Compliance,40.773236,-73.958874,8,4,140,Upper East Side-Carnegie Hill
4403,2670041,885 Park Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014130001,1014130001,1043230,885 Park Ave,Not Available,10075,883,PARK AVENUE,Manhattan,171207,Multifamily Housing,"Medical Office, Multifamily Housing",Multifamily Housing,175590,Medical Office,7500,Not Available,Not Available,1927,1,100,Whole Building,Whole Building,99,44.6,48.4,5.6,0,89.8,Not Available,4416137.7,Not Available,Not Available,Not Available,Not Available,149482.3,1494.8,3599595.4,1029524.1,669.7,335.7,334,183090,4333.5,23.67,87,05/01/2017 22:35:35,No,In Compliance,40.775054,-73.960927,8,4,140,Upper East Side-Carnegie Hill
4405,2637907,169 E 78 St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014130027,1014130027,1043245,169 E 78 Street,Not Available,10075,167,EAST 78 STREET,Manhattan,55883,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,54683,Other,1200,Not Available,Not Available,1928,1,100,Whole Building,Whole Building,75,62,67,4.3,0.5,100.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2622212.8,29286.2,843212.7,238883.4,217.5,139.3,78.2,55883,1007.6,18.03,96.6,04/27/2017 01:38:21 PM,No,In Compliance,40.773963,-73.958624,8,4,140,Upper East Side-Carnegie Hill
4406,2719912,Third Colony Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014130040,1014130040,1043252,180 East 79th Street,Not Available,10075,180,EAST 79 STREET,Manhattan,243000,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,291428,Retail Store,6300,Not Available,Not Available,1930,1,100,Whole Building,Whole Building,94,65.9,71.9,4.8,0.6,110,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.45669012E7,164946.8,5040438.9,1439626.8,1241.5,773.7,467.8,297728,Not Available,Not Available,104.5,04/28/2017 06:56:15 PM,Yes,In Compliance,40.774542,-73.957927,8,4,140,Upper East Side-Carnegie Hill
4407,2704465,170 East 79th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014130045,1-01413-0045,1043253,170 East 79th Street,Not Available,10021,168,EAST 79 STREET,Manhattan,51988,Multifamily Housing,Multifamily Housing,Multifamily Housing,55500,Not Available,Not Available,Not Available,Not Available,1927,1,100,Whole Building,Not Available,51,101.7,110.4,4.6,0,144.9,Not Available,Not Available,4647766.6,Not Available,Not Available,Not Available,89852,920.7,904052,254471.9,438.6,354.7,83.9,55500,22627.1,407.7,137.4,04/26/2017 06:28:45 PM,Yes,In Compliance,40.774649,-73.958183,8,4,140,Upper East Side-Carnegie Hill
4408,2747775,156 East 79th St. Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014130050,1-01413-0050,1043254,156 East 79th St.,Not Available,10075,156,EAST 79 STREET,Manhattan,103835,Multifamily Housing,Multifamily Housing,Multifamily Housing,111251,Not Available,Not Available,Not Available,Not Available,1917,1,100,Whole Building,Whole Building,94,67.6,72.2,4.5,0,105.7,Not Available,Not Available,5638549.2,Not Available,Not Available,Not Available,124263.4,1262.9,1758908.5,500762.3,594.3,431.1,163.2,111251,2501.6,22.49,102,04/24/2017 04:50:46 PM,Yes,In Compliance,40.774759,-73.958443,8,4,140,Upper East Side-Carnegie Hill
4409,2670730,136 East 79th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014130057,1014130057,1043259,136 East 79th St,Not Available,10075,136,EAST 79 STREET,Manhattan,107231,Multifamily Housing,Multifamily Housing,Multifamily Housing,139000,Not Available,Not Available,Not Available,Not Available,1929,1,100,Whole Building,Whole Building,95,44.7,Not Available,4.3,Not Available,Not Available,Not Available,2442599.8,Not Available,Not Available,Not Available,Not Available,1668922.4,Not Available,2102125.8,598364.6,465,269.9,195.1,139000,1706.6,12.28,77.8,05/01/2017 22:35:35,Yes,In Compliance,40.77513,-73.95932,8,4,140,Upper East Side-Carnegie Hill
4410,2669773,120 East 79th St & 116 East 79th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014130064,1014130064,1043260,120 East 79th St & 116 East 79th St,Not Available,10075,120,EAST 79 STREET,Manhattan,77953,Multifamily Housing,"Multifamily Housing, Urgent Care/Clinic/Other Outpatient",Multifamily Housing,79651,Urgent Care/Clinic/Other Outpatient,2200,Not Available,Not Available,1947,1,100,Whole Building,Whole Building,69,69.9,Not Available,5.4,Not Available,Not Available,Not Available,2466335.9,Not Available,Not Available,Not Available,Not Available,1691642,Not Available,1566613.6,443348.1,418.3,272.9,145.4,81851,4287.8,52.39,112.2,05/01/2017 22:35:35,No,In Compliance,40.775289,-73.959703,8,4,140,Upper East Side-Carnegie Hill
4411,2805620,Park Seventy-Ninth Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014130071,1014130071,1043261,895 Park Ave,Not Available,10075,893,PARK AVENUE,Manhattan,216186,Multifamily Housing,Multifamily Housing,Multifamily Housing,226014,Not Available,Not Available,Not Available,Not Available,1930,1,100,Whole Building,Whole Building,29,79.4,84.1,7.5,0.6,142,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.20325117E7,131859.6,5922910.4,1704140.8,1188.7,639.1,549.6,226014,Not Available,Not Available,138.2,05/01/2017 22:09:31,Yes,In Compliance,40.775353,-73.960707,8,4,140,Upper East Side-Carnegie Hill
4414,2805221,220 E 60 Street - 32744,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014147501,1-01414-7501,1043366,220 E 60 Street,Not Available,10022,224,EAST 60 STREET,Manhattan,115880,Multifamily Housing,"Multifamily Housing, Other - Services, Parking, Retail Store",Multifamily Housing,125968,Other - Services,1800,Parking,1500,1965,1,100,Whole Building,Not Available,Not Available,35.7,35.9,10.5,Not Available,112.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4579667.2,1351101.9,425,0,425,128368,Not Available,Not Available,112,04/24/2017 01:04:50 PM,No,In Compliance,40.761869,-73.965411,8,4,110,Lenox Hill-Roosevelt Island
4415,2729761,205 E 59 Condominiums,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014147502,1-01414-7502,1087103;1043337,205 E 59th St,Not Available,10022,205,EAST 59 STREET,Manhattan,133851,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,126160,Retail Store,18685,Not Available,Not Available,2003,1,100,Whole Building,Whole Building,3,83.7,87.8,13.3,0.4,187,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5487419.5,61468.2,6633059.9,1926416.4,907,291.5,615.5,144845,3896.7,26.9,183.6,04/30/2017 01:47:28 PM,Yes,In Compliance,40.761389,-73.966173,8,4,110,Lenox Hill-Roosevelt Island
4416,3506173,Stonehenge - 252 East 61 St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014150021,1-01415-0021,1078348;1078347,252 East 61st Street,1143 Second Avenue,10065,1143,2 AVENUE,Manhattan,103304,Multifamily Housing,Multifamily Housing,Multifamily Housing,93304,Not Available,Not Available,Not Available,Not Available,1940,1,100,Whole Building,Not Available,52,73.3,78,4.6,Not Available,112,Not Available,0,5333482.4,0,Not Available,Not Available,Not Available,Not Available,1505431.9,425860.6,541.3,401.6,139.7,93304,3653.5,39.16,108.4,05/01/2017 14:58:14,Yes,In Compliance,40.761334,-73.963826,8,4,110,Lenox Hill-Roosevelt Island
4417,3166885,Savoy Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014157501,1014157501,1043547,200 East 61st Street,Not Available,10065,200,EAST 61 STREET,Manhattan,322852,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,183269,Retail Store,68685,Not Available,Not Available,1984,1,100,Whole Building,Whole Building,3,154.8,153.8,14,0,277.1,Not Available,Not Available,Not Available,Not Available,Not Available,26517105,235600,2389.1,12240427.6,3515780,2909.1,12.5,2896.6,251954,Not Available,Not Available,280.1,05/25/2017 11:16:19 AM,No,In Compliance,40.762657,-73.965338,8,4,110,Lenox Hill-Roosevelt Island
4418,4045760,DEPM 1826 - 200 East 62nd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014167501,1-01416-7501,1043780,200 East 62nd Street,Not Available,10065,200,EAST 62 STREET,Manhattan,288394,Multifamily Housing,Multifamily Housing,Multifamily Housing,243000,Not Available,Not Available,Not Available,Not Available,1967,1,100,Whole Building,Not Available,8,87.5,86.1,5.8,Not Available,142.1,Not Available,Not Available,Not Available,Not Available,Not Available,1.63192213E7,Not Available,Not Available,4946345.8,1417327.7,1542.6,0,1542.6,243000,6893.7,28.37,144.7,05/01/2017 14:58:14,Yes,In Compliance,40.763283,-73.964879,8,4,110,Lenox Hill-Roosevelt Island
4419,2660104,Wallack - 201 East 62nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014170001,1-01417-0001,1043826,201 East 62nd Street,Not Available,10065,201,EAST 62 STREET,Manhattan,163496,Multifamily Housing,"Medical Office, Multifamily Housing, Retail Store",Multifamily Housing,160000,Retail Store,7000,Medical Office,500,1963,1,100,Whole Building,Not Available,Not Available,58.1,61.3,6.9,Not Available,119.3,Not Available,Not Available,Not Available,Not Available,Not Available,5774327.2,Not Available,Not Available,3965062.6,1154328,751.4,0,751.4,167500,Not Available,Not Available,115.8,05/01/2017 14:58:14,No,In Compliance,40.763296,-73.964869,8,4,110,Lenox Hill-Roosevelt Island
4420,3128407,220 East 63rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014170035,1014170035,1043848,220 East 63rd Street,Not Available,10065,220,EAST 63 STREET,Manhattan,184245,Multifamily Housing,Multifamily Housing,Multifamily Housing,190995,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Not Available,28,85.4,Not Available,7.3,0.4,Not Available,Not Available,3293646,Not Available,Not Available,Not Available,Not Available,8181896.4,81819,4833892.6,1399478.9,1127.6,679,448.6,190995,6838.7,35.81,141.9,04/28/2017 03:53:17 PM,Yes,In Compliance,40.763774,-73.964103,8,4,110,Lenox Hill-Roosevelt Island
4421,2809140,205 East 63rd St. Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014180001,1014180001,1043861,205 East 63rd Street,Not Available,10065,1071,3 AVENUE,Manhattan,158500,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,161471,Retail Store,4955,Not Available,Not Available,1963,1,100,Whole Building,Whole Building,Not Available,60.7,60.4,5.2,0.4,100.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7117536.6,71175.4,2980208.8,857928.7,654.6,378,276.6,166426,Not Available,Not Available,101.1,05/01/2017 22:09:31,No,In Compliance,40.764147,-73.964677,8,4,110,Lenox Hill-Roosevelt Island
4423,4858534,225 East 63rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014180011,1-01418-0011,1043863,225 East 63rd Street,Not Available,10065,225,EAST 63 STREET,Manhattan,105282,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,92857,Parking,11875,Not Available,Not Available,1962,1,100,Whole Building,Whole Building,10,156.8,156,7.3,1.3,215.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.21788463E7,121788.5,2383626.9,676856.6,868.1,646.9,221.2,92857,Not Available,Not Available,218.3,04/23/2017 07:20:45 PM,Yes,In Compliance,40.76376,-73.964031,8,4,110,Lenox Hill-Roosevelt Island
4424,2960530,"Regency Towers, LLC",Not Applicable: Standalone Property,Not Applicable: Standalone Property,1014180021,1-01418-0021,1043864,245 East 63 St.,Not Available,10065,1201,2 AVENUE,Manhattan,566083,Multifamily Housing,"Multifamily Housing, Office, Other, Parking, Restaurant",Multifamily Housing,620365,Parking,38553,Other,9649,1963,1,100,Whole Building,Whole Building,Not Available,106.2,106,6.9,0.8,160.2,Not Available,896999.9,Not Available,Not Available,Not Available,Not Available,5.16458116E7,516458.1,15047136.8,4369994.1,4206.1,2809.7,1396.4,636447,Not Available,Not Available,160.9,04/30/2017 01:43:05 PM,No,In Compliance,40.763285,-73.962403,8,4,110,Lenox Hill-Roosevelt Island
